accuracy,loss,val_accuracy,val_loss,Epoch
0.9903122186660767,0.028876006603240967,0.9930270910263062,0.019948072731494904,1
0.9984128475189209,0.006355490069836378,0.9991031289100647,0.004597291816025972,2
0.9988393187522888,0.0046217055059969425,0.9992349743843079,0.003544705454260111,3
0.999125063419342,0.00345182535238564,0.9993053674697876,0.003192171221598983,4
0.9992262125015259,0.002972019137814641,0.9990943074226379,0.0035150584299117327,5
0.9993757009506226,0.0026494585908949375,0.9988480806350708,0.004606328904628754,6
0.9994394183158875,0.002324883360415697,0.9982589483261108,0.004974241368472576,7
0.9994834065437317,0.0021350588649511337,0.9990503787994385,0.004029557574540377,8
0.9995647668838501,0.0017731627449393272,0.9994548559188843,0.002392667345702648,9
0.9995449781417847,0.001737165730446577,0.9994284510612488,0.002364994492381811,10
0.9996021389961243,0.0015716229099780321,0.9993668794631958,0.0030566148925572634,11
0.9996262788772583,0.0015255156904459,0.9996570944786072,0.0015354013303294778,12
0.9996768832206726,0.0014251635875552893,0.9994636178016663,0.002584074391052127,13
0.9996548891067505,0.0013870198745280504,0.999481201171875,0.0022269515320658684,14
0.9996790289878845,0.0012047628406435251,0.99955153465271,0.001778088160790503,15
0.9997296333312988,0.001075027626939118,0.999419629573822,0.0027467135805636644,16
0.9997252225875854,0.0011117319809272885,0.9996395111083984,0.0020664921030402184,17
0.9997208118438721,0.0010779687436297536,0.9997450113296509,0.0016810045344755054,18
0.9997318387031555,0.0011852693278342485,0.9995691180229187,0.0019603727851063013,19
0.9997339844703674,0.0009524085908196867,0.9996482729911804,0.0019966328982263803,20
0.9997361898422241,0.0010248646140098572,0.9995339512825012,0.0020764367654919624,21
0.9997713565826416,0.0008743020007386804,0.999481201171875,0.0029953480698168278,22
0.9997955560684204,0.0008481360855512321,0.9997625946998596,0.0019452441483736038,23
0.9997625946998596,0.0009350604377686977,0.9988744854927063,0.005939907860010862,24
0.9997999668121338,0.0006985976942814887,0.9997801780700684,0.0016197151271626353,25
0.999775767326355,0.0008586414624005556,0.9997361898422241,0.001809356501325965,26
0.9998153448104858,0.000944700266700238,0.9995779395103455,0.002497054636478424,27
0.9997801780700684,0.0008476717048324645,0.9996219277381897,0.002341344254091382,28
0.9998241662979126,0.0007793295080773532,0.9997274279594421,0.0017570857889950275,29
0.9998175501823425,0.0006423470331355929,0.9996834397315979,0.0023034403566271067,30
0.9998065233230591,0.0006980120670050383,0.9995603561401367,0.0021380013786256313,31
0.9998175501823425,0.0008759690099395812,0.9997977614402771,0.0016993482131510973,32
0.9998438954353333,0.0006621615611948073,0.9998241662979126,0.0014226563507691026,33
0.9998263120651245,0.0007272955845110118,0.9989888072013855,0.004609094467014074,34
0.9998351335525513,0.0005873198970220983,0.9996131062507629,0.0022211086470633745,35
0.9998593330383301,0.0005382908275350928,0.9987074136734009,0.006135428790003061,36
0.9998812675476074,0.0005076747038401663,0.9997010231018066,0.002559667220339179,37
0.9998461008071899,0.0006126193329691887,0.9996219277381897,0.0030768730212002993,38
0.9998658895492554,0.0005607836064882576,0.9995691180229187,0.0023409638088196516,39
0.9998351335525513,0.0006284044939093292,0.9993492960929871,0.0023983160499483347,40
0.9998812675476074,0.0005302443751133978,0.9996834397315979,0.0022992712911218405,41
0.9998615384101868,0.0006400479469448328,0.9997361898422241,0.0018153100972995162,42
0.9998571276664734,0.0005663480842486024,0.9996570944786072,0.0024182810448110104,43
0.9998725056648254,0.000598384125623852,0.9997713565826416,0.001977505162358284,44
0.9998351335525513,0.0005747015820816159,0.9996570944786072,0.0029633883386850357,45
0.9998615384101868,0.0005593423848040402,0.9997274279594421,0.0016018778551369905,46
0.9998725056648254,0.0005828803987242281,0.9996834397315979,0.002254792954772711,47
0.9998747110366821,0.0005724099464714527,0.9998241662979126,0.00145922286901623,48
0.9999032616615295,0.0005291218403726816,0.9997977614402771,0.0019648848101496696,49
0.9998747110366821,0.000578243110794574,0.9998417496681213,0.001244694460183382,50
